"DeviceId","SystemName","OrganizationId","CollectedUtc","Privilege","Trustee","SID"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeNetworkLogonRight","Everyone","S-1-1-0"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeNetworkLogonRight","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeNetworkLogonRight","BUILTIN\Users","S-1-5-32-545"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeNetworkLogonRight","BUILTIN\Backup Operators","S-1-5-32-551"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeBackupPrivilege","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeBackupPrivilege","BUILTIN\Backup Operators","S-1-5-32-551"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeChangeNotifyPrivilege","Everyone","S-1-1-0"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeChangeNotifyPrivilege","NT AUTHORITY\LOCAL SERVICE","S-1-5-19"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeChangeNotifyPrivilege","NT AUTHORITY\NETWORK SERVICE","S-1-5-20"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeChangeNotifyPrivilege","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeChangeNotifyPrivilege","BUILTIN\Users","S-1-5-32-545"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeChangeNotifyPrivilege","BUILTIN\Backup Operators","S-1-5-32-551"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeSystemtimePrivilege","NT AUTHORITY\LOCAL SERVICE","S-1-5-19"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeSystemtimePrivilege","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeCreatePagefilePrivilege","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeDebugPrivilege","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeRemoteShutdownPrivilege","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeAuditPrivilege","NT AUTHORITY\LOCAL SERVICE","S-1-5-19"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeAuditPrivilege","NT AUTHORITY\NETWORK SERVICE","S-1-5-20"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeIncreaseQuotaPrivilege","NT AUTHORITY\LOCAL SERVICE","S-1-5-19"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeIncreaseQuotaPrivilege","NT AUTHORITY\NETWORK SERVICE","S-1-5-20"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeIncreaseQuotaPrivilege","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeIncreaseBasePriorityPrivilege","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeIncreaseBasePriorityPrivilege","Window Manager\Window Manager Group","S-1-5-90-0"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeLoadDriverPrivilege","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeBatchLogonRight","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeBatchLogonRight","BUILTIN\Backup Operators","S-1-5-32-551"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeBatchLogonRight","BUILTIN\Performance Log Users","S-1-5-32-559"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeServiceLogonRight","NT SERVICE\ALL SERVICES","S-1-5-80-0"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeServiceLogonRight","NT SERVICE\himds","S-1-5-80-4215458991-2034252225-2287069555-1155419622-2701885083"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeInteractiveLogonRight","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeSecurityPrivilege","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeSystemEnvironmentPrivilege","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeProfileSingleProcessPrivilege","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeSystemProfilePrivilege","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeSystemProfilePrivilege","NT SERVICE\WdiServiceHost","S-1-5-80-3139157870-2983391045-3678747466-658725712-1809340420"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeAssignPrimaryTokenPrivilege","NT AUTHORITY\LOCAL SERVICE","S-1-5-19"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeAssignPrimaryTokenPrivilege","NT AUTHORITY\NETWORK SERVICE","S-1-5-20"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeRestorePrivilege","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeRestorePrivilege","BUILTIN\Backup Operators","S-1-5-32-551"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeShutdownPrivilege","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeTakeOwnershipPrivilege","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeDenyBatchLogonRight","BUILTIN\Guests","S-1-5-32-546"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeDenyServiceLogonRight","BUILTIN\Guests","S-1-5-32-546"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeDenyInteractiveLogonRight","BUILTIN\Guests","S-1-5-32-546"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeUndockPrivilege","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeManageVolumePrivilege","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeRemoteInteractiveLogonRight","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeRemoteInteractiveLogonRight","BUILTIN\Remote Desktop Users","S-1-5-32-555"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeDenyRemoteInteractiveLogonRight","BUILTIN\Guests","S-1-5-32-546"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeImpersonatePrivilege","NT AUTHORITY\LOCAL SERVICE","S-1-5-19"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeImpersonatePrivilege","NT AUTHORITY\NETWORK SERVICE","S-1-5-20"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeImpersonatePrivilege","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeImpersonatePrivilege","NT AUTHORITY\SERVICE","S-1-5-6"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeCreateGlobalPrivilege","NT AUTHORITY\LOCAL SERVICE","S-1-5-19"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeCreateGlobalPrivilege","NT AUTHORITY\NETWORK SERVICE","S-1-5-20"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeCreateGlobalPrivilege","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeCreateGlobalPrivilege","NT AUTHORITY\SERVICE","S-1-5-6"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeIncreaseWorkingSetPrivilege","BUILTIN\Users","S-1-5-32-545"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeTimeZonePrivilege","NT AUTHORITY\LOCAL SERVICE","S-1-5-19"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeTimeZonePrivilege","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeCreateSymbolicLinkPrivilege","BUILTIN\Administrators","S-1-5-32-544"
"364","CO1SWDOCMTST01","52","9/14/2026 10:32:48 PM","SeDelegateSessionUserImpersonatePrivilege","BUILTIN\Administrators","S-1-5-32-544"
